City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Cap Malheureux,MU,-19.9842,57.6142,72.46,78,71,5.01,broken clouds
304,Wattegama,LK,6.7989,81.4808,73.56,92,100,0.6,overcast clouds
305,Kovdor,RU,67.5662,30.4758,29.79,61,100,8.48,overcast clouds
306,Ouesso,CG,1.6136,16.0517,70.0,98,99,1.45,overcast clouds
307,Yakeshi,CN,49.2833,120.7333,30.58,85,98,3.47,snow
308,Broome,US,42.2506,-75.833,49.59,61,4,1.01,clear sky
309,Sarrebourg,FR,48.7333,7.05,56.01,89,100,10.54,light rain
310,Omboue,GA,-1.5746,9.2618,76.26,88,74,5.66,broken clouds
311,Nisia Floresta,BR,-6.0911,-35.2086,76.78,79,50,11.39,scattered clouds
312,Grindavik,IS,63.8424,-22.4338,34.27,86,0,9.22,clear sky
313,General Roca,AR,-39.0333,-67.5833,52.63,55,96,7.47,overcast clouds
314,Sabang,ID,5.8933,95.3214,81.03,76,100,19.19,overcast clouds
315,Paulista,BR,-7.9408,-34.8731,77.2,79,11,10.78,few clouds
316,Pushkinskiye Gory,RU,57.0209,28.9103,41.52,84,100,3.91,overcast clouds
317,Boguchany,RU,58.3814,97.4531,34.75,90,100,4.07,overcast clouds
318,Luanda,AO,-8.8368,13.2343,75.11,84,100,11.27,overcast clouds
319,Chapais,CA,49.7834,-74.8492,42.66,71,100,15.75,overcast clouds
320,Gigmoto,PH,13.7796,124.39,83.7,77,99,3.24,overcast clouds
321,Bloemfontein,ZA,-29.1211,26.214,63.68,68,99,5.97,overcast clouds
322,Igrim,RU,63.1906,64.4162,31.71,73,36,12.15,scattered clouds
323,Setermoen,NO,68.861,18.3486,40.96,98,100,6.6,overcast clouds
324,Noshiro,JP,40.2039,140.0242,66.09,78,59,15.66,broken clouds
325,Kodiak,US,57.79,-152.4072,46.42,63,1,15.7,clear sky
326,Qarayeri,AZ,40.7886,46.3066,52.68,62,75,13.8,broken clouds
327,Robertsport,LR,6.7533,-11.3686,77.76,85,31,6.4,light rain
328,Half Moon Bay,US,37.4636,-122.4286,71.82,76,100,14.97,mist
329,Pitimbu,BR,-7.4706,-34.8086,77.23,80,13,13.09,few clouds
330,Northam,GB,51.0333,-4.2167,56.61,94,74,19.46,broken clouds
331,Casablanca,MA,33.5928,-7.6192,69.33,77,94,5.99,overcast clouds
332,Sept-Iles,CA,50.2001,-66.3821,45.05,76,47,5.01,scattered clouds
333,Margate,GB,51.3813,1.3862,63.9,81,94,8.01,overcast clouds
334,Vallenar,CL,-28.5708,-70.7581,64.92,53,0,3.65,clear sky
335,Murray Bridge,AU,-35.1167,139.2667,66.45,61,63,6.62,light rain
336,Kununurra,AU,-15.7667,128.7333,96.37,31,14,4.07,few clouds
337,Helmsdale,GB,58.1168,-3.6517,55.35,96,100,9.31,overcast clouds
338,Adeje,ES,28.1227,-16.726,72.16,55,0,4.61,clear sky
339,Porterville,US,36.0652,-119.0168,89.55,14,0,6.4,clear sky
340,Moerai,PF,-22.4333,-151.3333,73.85,85,5,18.41,clear sky
341,Binangonan,PH,14.4667,121.1833,85.06,81,100,5.57,overcast clouds
342,Sibolga,ID,1.7427,98.7792,75.4,91,100,3.13,overcast clouds
343,Meulaboh,ID,4.1363,96.1285,75.27,85,98,3.51,light rain
344,Tornio,FI,65.8481,24.1466,37.42,89,100,9.15,overcast clouds
345,Lima,PE,-12.0432,-77.0282,63.9,76,29,8.5,scattered clouds
346,Kushima,JP,31.4583,131.2333,72.81,68,93,5.57,overcast clouds
347,Rio Grande,BR,-32.035,-52.0986,58.84,94,79,6.93,broken clouds
348,Bathurst,AU,-33.4166,149.5806,65.97,81,77,1.01,broken clouds
349,Vadakku Valliyur,IN,8.3833,77.65,75.47,89,100,1.72,overcast clouds
350,Visby,SE,57.6409,18.296,50.05,87,100,6.91,overcast clouds
351,Havelock,US,34.8791,-76.9013,61.95,77,100,0.0,overcast clouds
352,Harper,LR,4.375,-7.7169,76.32,88,92,6.38,overcast clouds
353,Ejido,VE,8.5514,-71.2375,69.4,90,95,1.05,overcast clouds
354,Camana,PE,-16.6228,-72.7111,62.6,82,39,7.67,scattered clouds
355,Schwedt,DE,53.0596,14.2815,56.23,99,100,2.39,overcast clouds
356,Eureka,US,40.8021,-124.1637,67.68,82,87,3.0,overcast clouds
357,Dalbandin,PK,28.8947,64.4101,65.68,14,6,2.57,clear sky
358,Namwala,ZM,-15.7504,26.4384,71.58,45,3,3.91,clear sky
359,Longjiang,CN,47.3303,123.1836,38.53,71,58,4.38,broken clouds
360,San Cristobal,VE,7.7669,-72.225,68.58,96,99,1.81,overcast clouds
361,Ascension,US,30.2169,-90.9001,74.16,60,0,3.44,clear sky
362,Coruripe,BR,-10.1256,-36.1756,75.51,80,35,11.81,scattered clouds
363,Geraldton,AU,-28.7667,114.6,65.89,63,68,8.05,broken clouds
364,Nome,US,64.5011,-165.4064,36.16,98,96,13.42,light rain
365,Pangody,RU,65.85,74.4859,29.61,87,98,11.36,overcast clouds
366,Palana,RU,59.1167,159.9667,22.33,85,90,5.53,overcast clouds
367,Alofi,NU,-19.0595,-169.9187,78.22,74,97,6.85,overcast clouds
368,Egvekinot,RU,66.3167,-179.1667,26.13,95,100,3.83,light snow
369,Sann,PK,26.0418,68.1378,77.68,38,0,6.15,clear sky
370,Chesterton,US,41.6106,-87.0642,69.19,39,4,3.0,clear sky
371,Venado Tuerto,AR,-33.7456,-61.9688,70.77,38,75,18.66,broken clouds
372,Russell,US,32.3502,-85.1999,59.38,45,4,1.97,clear sky
373,Mapiripan,CO,2.8892,-72.1256,74.95,93,96,4.83,heavy intensity rain
374,Banepa,NP,27.6298,85.5214,55.72,88,20,2.3,few clouds
375,Waddan,LY,29.1614,16.139,65.21,74,12,7.4,few clouds
376,Emerald,AU,-23.5333,148.1667,77.34,61,0,4.56,clear sky
377,Nokaneng,BW,-19.6667,22.2667,78.85,24,84,4.63,broken clouds
378,Keelung,TW,25.1283,121.7419,80.11,94,100,12.19,overcast clouds
379,Orlik,RU,52.5178,99.825,22.98,87,58,4.03,broken clouds
380,Vysokogornyy,RU,50.1167,139.15,32.34,73,100,3.94,light snow
381,Anadyr,RU,64.75,177.4833,30.0,92,100,11.12,overcast clouds
382,Bireun,ID,5.203,96.7009,77.09,84,100,8.28,light rain
383,Kalanguy,RU,51.0167,116.5167,28.87,70,27,1.23,scattered clouds
384,Barcelos,PT,41.5388,-8.6151,62.85,92,30,11.03,light rain
385,Okakarara,NA,-20.5833,17.4333,74.97,39,93,6.08,overcast clouds
