City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Shebalino,RU,2022-10-20 19:05:50,51.2917,85.6772,40.01,64,100,15.17
93,Isangel,VU,2022-10-20 19:05:50,-19.55,169.2667,72.14,73,97,9.78
94,Labuhan,ID,2022-10-20 19:05:51,-6.8844,112.2051,79.92,82,100,5.08
95,Disna,BY,2022-10-20 19:05:52,55.568,28.1971,41.95,82,100,5.79
96,Chuy,UY,2022-10-20 19:05:52,-33.6971,-53.4616,65.7,76,100,9.24
97,Dubti,ET,2022-10-20 19:05:53,11.7361,41.0853,88.79,35,0,13.89
98,Esperance,AU,2022-10-20 19:04:55,-33.8667,121.9,60.28,83,94,5.91
99,Vasto,IT,2022-10-20 19:05:53,42.1243,14.7059,64.69,70,8,2.8
100,Miracema Do Tocantins,BR,2022-10-20 19:05:54,-9.5618,-48.3967,99.7,22,99,7.9
101,Vostok,RU,2022-10-20 19:05:55,46.4856,135.8833,31.44,74,88,5.46
102,Krasnyy Chikoy,RU,2022-10-20 19:05:55,50.3643,108.7512,26.67,97,53,1.97
103,Lensk,RU,2022-10-20 19:05:56,60.7253,114.9278,30.72,92,100,7.67
104,Birjand,IR,2022-10-20 19:05:57,32.8663,59.2211,58.14,28,2,2.06
105,Jamestown,US,2022-10-20 19:02:08,42.097,-79.2353,44.02,46,100,16.11
106,Epe,NG,2022-10-20 19:05:58,6.5841,3.9834,76.84,91,7,5.41
107,Acajutla,SV,2022-10-20 19:05:58,13.5928,-89.8275,83.3,77,71,7.4
108,Meyrin,CH,2022-10-20 19:05:59,46.2342,6.0803,63.61,89,40,2.3
109,Tarko-Sale,RU,2022-10-20 19:05:39,64.9225,77.785,35.22,91,100,15.26
110,Eyl,SO,2022-10-20 19:05:59,7.9803,49.8164,78.62,84,36,13.29
111,San Patricio,US,2022-10-20 19:06:00,28.017,-97.5169,82.08,28,0,8.23
112,Ler,SS,2022-10-20 19:06:01,8.3018,30.1418,76.6,74,54,3.24
113,Vaini,TO,2022-10-20 19:06:01,-21.2,-175.2,71.76,100,75,11.5
114,Clyde River,CA,2022-10-20 19:03:25,70.4692,-68.5914,17.83,73,75,6.91
115,Longyearbyen,SJ,2022-10-20 19:02:50,78.2186,15.6401,19.24,79,20,9.22
116,Hobart,AU,2022-10-20 19:06:03,-42.8794,147.3294,51.66,92,75,5.75
117,Aleksandrov Gay,RU,2022-10-20 19:06:05,50.147,48.5704,57.16,64,100,0.83
118,Taoudenni,ML,2022-10-20 19:06:06,22.6783,-3.9836,89.1,13,11,13.56
119,Guerrero Negro,MX,2022-10-20 19:05:11,27.9769,-114.0611,80.06,57,0,4.07
120,Faya,SA,2022-10-20 19:06:07,18.3851,42.4509,61.32,49,0,0.34
121,Kavieng,PG,2022-10-20 19:06:08,-2.5744,150.7967,81.77,74,81,9.69
122,Beloha,MG,2022-10-20 19:06:09,-25.1667,45.05,72.77,69,0,12.03
123,Sorong,ID,2022-10-20 19:06:09,-0.8833,131.25,79.09,84,100,4.14
124,Bundaberg,AU,2022-10-20 19:05:33,-24.85,152.35,69.22,99,1,5.75
125,Karasjok,NO,2022-10-20 19:06:10,69.4719,25.5112,29.91,73,100,3.78
126,Wanaka,NZ,2022-10-20 19:06:11,-44.7,169.15,39.11,63,6,4.29
127,Maceio,BR,2022-10-20 19:06:12,-9.6658,-35.7353,79.18,61,11,8.79
128,Puerto Ayora,EC,2022-10-20 19:06:13,-0.7393,-90.3518,69.39,74,82,11.1
129,Nome,US,2022-10-20 19:03:44,64.5011,-165.4064,39.27,87,75,8.05
130,Leona Vicario,MX,2022-10-20 19:06:14,20.9667,-87.1917,80.47,61,96,6.62
131,Mayor Pablo Lagerenza,PY,2022-10-20 19:06:15,-19.9309,-60.7718,76.71,70,85,13.22
132,Saint-Pierre,RE,2022-10-20 19:06:15,-21.3393,55.4781,71.91,73,20,6.91
133,Ostrovnoy,RU,2022-10-20 19:06:17,68.0531,39.5131,33.01,66,100,25.75
134,Crotone,IT,2022-10-20 19:06:18,39.0851,17.1178,67.19,63,0,9.93
135,Nalut,LY,2022-10-20 19:06:19,30.3333,10.85,68.72,42,0,7.49
136,Saint-Philippe,RE,2022-10-20 19:05:16,-21.3585,55.7679,69.39,77,38,11.23
137,Pemangkat,ID,2022-10-20 19:07:20,1.1667,108.9667,79.16,85,100,3.89
138,Svetlogorsk,BY,2022-10-20 19:07:21,52.6333,29.7333,35.38,84,13,5.91
139,Castro,BR,2022-10-20 19:07:22,-24.7911,-50.0119,65.52,81,100,6.06
140,Moron,AR,2022-10-20 19:07:23,-34.6534,-58.6198,77.95,75,100,5.39
141,Kamaishi,JP,2022-10-20 19:07:23,39.2667,141.8833,56.3,73,0,4.56
142,Zhigansk,RU,2022-10-20 19:07:24,66.7697,123.3711,17.02,96,96,9.33
143,Trinidad,BO,2022-10-20 19:02:52,-14.8333,-64.9,92.12,46,100,6.11
144,Egvekinot,RU,2022-10-20 19:07:25,66.3167,-179.1667,27.64,97,100,6.67
145,Kutum,SD,2022-10-20 19:07:26,14.2,24.6667,81.0,24,71,8.68
146,Padang,ID,2022-10-20 19:07:26,-0.9492,100.3543,76.14,86,100,3.49
147,Provideniya,RU,2022-10-20 19:07:27,64.3833,-173.3,34.7,97,100,6.87
148,Pangody,RU,2022-10-20 19:07:28,65.85,74.4859,33.37,96,100,13.13
149,Westport,US,2022-10-20 19:07:28,41.1415,-73.3579,60.62,40,0,17.27
150,Grindavik,IS,2022-10-20 19:07:30,63.8424,-22.4338,41.47,81,75,11.5
151,Tokur,RU,2022-10-20 19:07:31,53.1333,132.9,21.58,78,3,2.33
152,Salalah,OM,2022-10-20 19:06:59,17.0151,54.0924,78.89,78,40,4.61
153,Saint Anthony,US,2022-10-20 19:07:32,45.0205,-93.218,59.29,37,0,6.91
154,Caravelas,BR,2022-10-20 19:03:36,-17.7125,-39.2481,78.66,67,6,10.76
155,Chachapoyas,PE,2022-10-20 19:07:33,-6.2317,-77.869,64.38,80,100,1.9
156,Rundu,NA,2022-10-20 19:07:33,-17.9333,19.7667,75.69,39,23,4.12
157,Fairbanks,US,2022-10-20 19:07:29,64.8378,-147.7164,34.21,91,100,0.0
158,Adrar,MR,2022-10-20 19:07:35,20.5022,-10.0711,91.92,13,74,5.12
159,Shahrud,IR,2022-10-20 19:07:35,36.4182,54.9763,61.54,40,100,3.04
160,Flinders,AU,2022-10-20 19:04:49,-34.5833,150.8552,66.38,94,100,4.0
161,Yuli,NG,2022-10-20 19:07:38,9.6989,10.2744,79.57,42,14,2.39
162,Pangnirtung,CA,2022-10-20 19:07:38,66.1451,-65.7125,26.74,84,98,10.45
163,Kalmar,SE,2022-10-20 19:07:39,56.6616,16.3616,33.73,100,97,0.0
164,Bredasdorp,ZA,2022-10-20 19:05:26,-34.5322,20.0403,57.0,81,84,5.3
165,Mehamn,NO,2022-10-20 19:07:41,71.0357,27.8492,37.31,60,75,19.57
166,Sinnamary,GF,2022-10-20 19:03:55,5.3833,-52.95,84.2,67,100,11.16
167,Hirara,JP,2022-10-20 19:07:44,24.8,125.2833,78.08,85,100,26.19
